lat,lon,type,fee,name
44.9103,-124.0264,slipway,no,
45.895,-122.7381,fishing,no,
45.9064,-122.7367,slipway,no,Canoe Launch
44.7307,-122.1701,slipway,no,
45.7486,-122.7717,slipway,no,
44.8097,-124.061,marina,yes,Depoe Bay Harbor
42.4311,-123.1711,slipway,no,Fleming Boat Ramp
44.8068,-119.9661,slipway,no,
45.6217,-122.8096,slipway,no,
45.6194,-122.8058,slipway,no,
45.6191,-122.8051,slipway,no,
44.1189,-123.3163,marina,no,Richardson Park Marina
43.6779,-123.9333,slipway,no,
43.1477,-124.401,slipway,no,Boat Ramp
43.011,-124.4521,slipway,no,New River Kayak Access
42.1729,-122.4571,slipway,no,
44.2469,-116.9877,slipway,no,
45.4424,-122.6432,slipway,no,Milwaukie Bay Boat Launch
44.0699,-122.9068,slipway,no,
43.9254,-122.8115,slipway,no,Middlefork Boat Launch
45.944,-119.299,slipway,no,
45.0404,-123.9966,slipway,no,Westwind Ferry Landing
44.715,-122.1233,slipway,no,Hoover Boat Ramp
44.7141,-122.1577,slipway,no,
44.7225,-122.1594,slipway,no,
44.7078,-122.1739,slipway,no,Southshore Boat Ramp
44.1157,-123.062,slipway,no,Kayak Launch
45.6519,-120.9586,slipway,no,Boat Ramp
45.1596,-123.9352,slipway,no,
42.2398,-122.4101,slipway,no,
42.3778,-122.2107,slipway,no,
42.1359,-121.9425,slipway,no,
43.7998,-124.1463,slipway,yes,Tahkenitch Landing Boat Ramp
45.3436,-119.5391,slipway,no,
44.2641,-117.127,slipway,no,
44.3608,-117.6831,slipway,no,
44.263,-117.1278,slipway,no,
45.7296,-121.5239,fishing,no,Underwood White Salmon Treaty Fi
45.4501,-122.9498,slipway,no,Farmington Paddle Launch
45.7306,-120.2237,slipway,no,
44.0775,-123.3247,slipway,no,
45.6641,-122.7171,slipway,no,Vancouver Lake Boat Launch
46.233,-116.6219,slipway,no,Winchester Lake Boat Ramp
45.927,-119.2918,slipway,no,
46.2547,-119.4738,slipway,yes,Benton City Boat Launch
46.232,-119.9999,slipway,no,Mabton Bridge Boat Launch
46.0303,-117.3169,slipway,no,Botts Boat Launch
46.0347,-117.1151,fishing,no,
46.0627,-116.9967,slipway,no,Ebsen Boat Launch
46.086,-116.983,slipway,no,Heller Bar Boat Ramp
46.2056,-116.967,slipway,no,Couse Creek Boat Launch
46.0417,-117.2531,slipway,no,Boggan's Oasis Boat Launch
44.6846,-121.2396,slipway,no,
46.2567,-119.2876,slipway,no,Chamna
45.7194,-120.4615,slipway,no,
45.8184,-121.1177,slipway,no,Mineral Springs Boat Launch
45.924,-121.1099,slipway,no,Stinson Flat Boat Launch
45.9386,-121.1211,slipway,no,Leidl Boat Launch
46.217,-119.116,slipway,no,
44.9161,-120.47,slipway,no,
44.8907,-120.4374,slipway,no,
46.0936,-122.3204,slipway,no,
45.5837,-122.6476,slipway,no,
43.1175,-123.4261,slipway,no,
45.7799,-121.5158,slipway,no,
45.8116,-119.9705,slipway,no,
42.0516,-123.1256,slipway,no,
44.3779,-121.8698,slipway,no,
46.0364,-122.8916,dock,no,Fishing dock
45.9937,-123.9245,slipway,no,
45.465,-122.6641,slipway,no,Sellwood Riverfront Park
45.4104,-122.66,slipway,no,George Rogers Park
45.8672,-122.7226,fishing,no,
44.0527,-124.0535,slipway,no,Mercer Lake Boat Ramp
43.8631,-121.4518,slipway,no,Harper Bridge River Access
45.1648,-122.1227,slipway,no,Boat ramp
45.1576,-122.1514,slipway,no,Fish Creek Wooden Boat Slide
42.052,-124.2693,slipway,no,
44.0039,-124.0707,slipway,no,Bender Landing County Park
43.3797,-124.2171,berth,no,USCGC Orcas
42.0463,-124.269,fishing,no,
43.347,-124.3219,seamark,no,
44.6228,-124.0508,slipway,no,
